File Name;Game Title;Rpi 1 Status;Rpi 2 Status;Rpi 3 Status;Parent;BIOS;Samples;Notes;Year;Manufacturer;Played
burningf;Burning Fight (set 1);Untested;Untested;Untested;;neogeo;;;1991;SNK;
butasan;Butasan (Japan);Untested;Untested;Untested;;;;;1987;[NMK] (Jaleco license);
bwcasino;Boardwalk Casino;Untested;Untested;Untested;;;;;1983;Epos Corporation;
bwidow;Black Widow;Untested;Untested;OK;;;;;1982;Atari;
cabal;Cabal (US set 1);Untested;OK;Untested;;;;;1988;Tad (Fabtek license);
cachat;Cachat (Japan);Untested;Untested;Untested;;;;;1993;Taito Corporation;
cadash;Cadash (World);Untested;OK;OK;;;;;1989;Taito Corporation Japan;
cairblad;Change Air Blade (Japan);Untested;Untested;Untested;;;;;1999;Sammy;
calibr50;Caliber 50;Untested;Untested;Untested;;;;;1989;Athena / Seta;
calipso;Calipso;Untested;Untested;Untested;;;;;1982;[Stern] (Tago license);
calspeed;California Speed;Untested;Untested;Untested;;;;Cannot get passed steering wheel test with keyboard or mouse;1998;Atari Games;
cameltry;Cameltry (US);Untested;Untested;Untested;;;;;1989;Taito America Corporation;
cannball;Cannon Ball;Untested;Untested;Untested;;;;;1995;Yun Sung / Soft Vision;
cannonb;Cannon Ball (Crazy Climber hardware);Untested;Untested;Untested;;;;;1985;Soft;
canyon;Canyon Bomber;Untested;Untested;Untested;;;;;1977;Atari;
capbowl;Capcom Bowling (set 1);Untested;Untested;Untested;;;;;1988;Incredible Technologies;
captaven;Captain America and The Avengers (Asia Rev 1.9);Untested;OK;OK;;;;;1991;Data East Corporation;
captcomm;Captain Commando (World 911014);Untested;OK;OK;;;;;1991;Capcom;
carjmbre;Car Jamboree;Untested;Untested;Untested;;;;;1983;Omori Electric Co., Ltd.;
carnevil;CarnEvil;Untested;Untested;Untested;;;;;1998;Midway Games;
carnival;Carnival (upright);Untested;Untested;Untested;;;;;1980;Sega;
carpolo;Car Polo;Untested;Untested;Untested;;;;;1977;Exidy;
cavelon;Cavelon;Untested;Untested;Untested;;;;;1983;Jetsoft;
cavenger;Cosmic Avenger;Untested;Untested;Untested;;;;;1981;Universal;
cbasebal;Capcom Baseball (Japan);Untested;Untested;Untested;;;;;1989;Capcom;
cburnrub;Cassette: Burnin' Rubber (set 1);Untested;Untested;Untested;;;;;1982;DECO;
cbuster;Crude Buster (World FX version);Untested;OK;Untested;;;;;1990;Data East Corporation;
ccasino;Chinese Casino [BET] (Japan);Untested;Untested;Untested;;;;;1987;V-System Co.;
ccastles;Crystal Castles (version 4);Untested;Untested;Untested;;;;;1983;Atari;
cclimber;Crazy Climber (US);Untested;Untested;OK;;;;;1980;Nichibutsu;
cclimbr2;Crazy Climber 2 (Japan);Untested;Untested;Untested;;;;;1988;Nichibutsu;
cdiscon1;Cassette: Disco No.1;Untested;Untested;Untested;;;;;1982;DECO;
